user_id,study_cd,status,joined_at,left_at
yeonggil31@naver.com,43,JOINED,2024-12-03 16:52:25,
caeweongim@daum.net,44,JOINED,2024-12-12 16:52:25,
eunseo63@gmail.com,45,JOINED,2024-12-15 16:52:25,
dgim@daum.net,46,JOINED,2024-12-17 16:52:25,
junhoi@hanmail.net,47,JOINED,2024-12-21 16:52:25,
cunja14@hanmail.net,48,JOINED,2024-12-19 16:52:25,
yi@naver.com,49,JOINED,2024-12-01 16:52:25,
yeongceolo@gmail.com,50,JOINED,2024-12-15 16:52:25,
juweongim@daum.net,51,JOINED,2024-12-22 16:52:25,
migyeong65@kakao.com,52,JOINED,2024-12-23 16:52:25,
ljang@daum.net,53,JOINED,2024-12-13 16:52:25,
yeonggil99@hanmail.net,54,JOINED,2024-12-22 16:52:25,
yan@hanmail.net,55,JOINED,2024-12-14 16:52:25,
yeongsuggim@hanmail.net,56,JOINED,2024-11-28 16:52:25,
bagjiu@kakao.com,57,JOINED,2024-12-14 16:52:25,
areumgim@hanmail.net,58,JOINED,2024-12-06 16:52:25,
pgim@daum.net,59,JOINED,2024-12-17 16:52:25,
hayun79@gmail.com,60,JOINED,2024-11-30 16:52:25,
ogsunbag@hanmail.net,61,JOINED,2024-12-24 16:52:25,
rgang@naver.com,62,JOINED,2024-12-02 16:52:25,
gimyeongsig@naver.com,63,JOINED,2024-12-11 16:52:25,
ni@naver.com,64,JOINED,2024-12-08 16:52:25,
wbag@gmail.com,65,JOINED,2024-12-22 16:52:25,
myeongsugi@hanmail.net,66,JOINED,2024-11-26 16:52:25,
jeongjaheo@daum.net,67,JOINED,2024-12-13 16:52:25,
gimjihun@daum.net,68,JOINED,2024-12-23 16:52:25,
jeongung64@kakao.com,69,JOINED,2024-12-08 16:52:25,
eomjeonghun@kakao.com,70,JOINED,2024-12-16 16:52:25,
siugim@naver.com,71,JOINED,2024-11-29 16:52:25,
gyeongsuggim@gmail.com,72,JOINED,2024-12-05 16:52:25,
hyeonsuggim@daum.net,73,JOINED,2024-12-06 16:52:25,
mno@kakao.com,74,JOINED,2024-11-27 16:52:25,
jeonghyi91@daum.net,75,JOINED,2024-11-28 16:52:25,
bagjeongho@daum.net,76,JOINED,2024-12-14 16:52:25,
bo@hanmail.net,77,JOINED,2024-12-07 16:52:25,
ubag@hanmail.net,78,JOINED,2024-12-19 16:52:25,
fi@daum.net,79,JOINED,2024-12-03 16:52:25,
jiyeong48@kakao.com,80,JOINED,2024-12-23 16:52:25,
pcoe@kakao.com,81,JOINED,2024-12-24 16:52:25,
ijunho@kakao.com,82,JOINED,2024-12-04 16:52:25,
yeweon44@gmail.com,83,JOINED,2024-12-18 16:52:25,
ogsuni@kakao.com,84,JOINED,2024-12-01 16:52:25,
jaehyeoni@daum.net,85,JOINED,2024-12-16 16:52:25,
coeyeonghyi@naver.com,86,JOINED,2024-12-23 16:52:25,
gyeongsug75@gmail.com,87,JOINED,2024-11-28 16:52:25,
iminjae@hanmail.net,88,JOINED,2024-12-18 16:52:25,
byeongceol31@hanmail.net,89,JOINED,2024-11-28 16:52:25,
cbag@hanmail.net,90,JOINED,2024-12-22 16:52:25,
gangogsun@naver.com,91,JOINED,2024-12-13 16:52:25,
minjigim@kakao.com,92,JOINED,2024-12-17 16:52:25,
yeweon71@hanmail.net,93,JOINED,2024-12-11 16:52:25,
jihunjeong@kakao.com,94,JOINED,2024-12-05 16:52:25,
eunyeongcoe@gmail.com,95,JOINED,2024-11-29 16:52:25,
gno@daum.net,96,JOINED,2024-12-14 16:52:25,
sumin01@daum.net,97,JOINED,2024-12-20 16:52:25,
seoyeong27@gmail.com,98,JOINED,2024-12-14 16:52:25,
vi@kakao.com,99,JOINED,2024-12-14 16:52:25,
bagjeongsu@hanmail.net,100,JOINED,2024-12-19 16:52:25,
yunminseo@gmail.com,101,JOINED,2024-12-04 16:52:25,
caeweoni@naver.com,102,JOINED,2024-12-17 16:52:25,
yeweoni@gmail.com,103,JOINED,2024-12-03 16:52:25,
bagsanghun@hanmail.net,104,JOINED,2024-11-26 16:52:25,
ejeon@naver.com,105,JOINED,2024-12-04 16:52:25,
jiai@daum.net,106,JOINED,2024-12-05 16:52:25,
yeji99@naver.com,107,JOINED,2024-12-23 16:52:25,
minji86@gmail.com,108,JOINED,2024-12-06 16:52:25,
xgim@daum.net,109,JOINED,2024-12-05 16:52:25,
qi@kakao.com,110,JOINED,2024-12-20 16:52:25,
jiyeon71@naver.com,111,JOINED,2024-12-08 16:52:25,
minjunhwang@naver.com,112,JOINED,2024-12-02 16:52:25,
jimin86@daum.net,113,JOINED,2024-12-18 16:52:25,
gangyeongil@kakao.com,114,JOINED,2024-12-20 16:52:25,
bagyeongja@naver.com,115,JOINED,2024-12-11 16:52:25,
hgim@hanmail.net,116,JOINED,2024-12-13 16:52:25,
jbaeg@hanmail.net,117,JOINED,2024-12-17 16:52:25,
rbae@daum.net,118,JOINED,2024-11-26 16:52:25,
sunog64@gmail.com,119,JOINED,2024-12-05 16:52:25,
gimseoyeong@daum.net,120,JOINED,2024-12-03 16:52:25,
ki@gmail.com,121,JOINED,2024-12-08 16:52:25,
sjeon@daum.net,122,JOINED,2024-12-18 16:52:25,
yeongsun21@kakao.com,123,JOINED,2024-12-04 16:52:25,
yejin14@gmail.com,124,JOINED,2024-12-15 16:52:25,
mijeong42@gmail.com,125,JOINED,2024-11-29 16:52:25,
eunju71@kakao.com,126,JOINED,2024-12-01 16:52:25,
zju@daum.net,127,JOINED,2024-12-01 16:52:25,
seoyun51@gmail.com,128,JOINED,2024-12-24 16:52:25,
jihyeon31@daum.net,129,JOINED,2024-12-18 16:52:25,
gimhayun@kakao.com,130,JOINED,2024-11-29 16:52:25,
qbag@naver.com,131,JOINED,2024-12-24 16:52:25,
jiuyun@hanmail.net,132,JOINED,2024-11-30 16:52:25,
yeongsu73@gmail.com,133,JOINED,2024-12-15 16:52:25,
minsu43@gmail.com,134,JOINED,2024-12-13 16:52:25,
gimjeongung@naver.com,135,JOINED,2024-12-17 16:52:25,
eungyeong90@gmail.com,136,JOINED,2024-12-23 16:52:25,
sanghomun@hanmail.net,137,JOINED,2024-12-19 16:52:25,
gimminseog@kakao.com,138,JOINED,2024-11-26 16:52:25,
misug17@naver.com,139,JOINED,2024-12-07 16:52:25,
hyeonjun00@hanmail.net,140,JOINED,2024-11-27 16:52:25,
fgim@gmail.com,141,JOINED,2024-12-03 16:52:25,
junyeong98@gmail.com,142,JOINED,2024-12-15 16:52:25,
gosunja@gmail.com,143,JOINED,2024-12-19 16:52:25,
di@kakao.com,144,JOINED,2024-12-05 16:52:25,
junseo27@gmail.com,145,JOINED,2024-12-10 16:52:25,
eunji80@kakao.com,146,JOINED,2024-12-13 16:52:25,
umun@hanmail.net,147,JOINED,2024-11-27 16:52:25,
iboram@hanmail.net,148,JOINED,2024-11-26 16:52:25,
gangareum@gmail.com,149,JOINED,2024-12-05 16:52:25,
seoyeoni@hanmail.net,150,JOINED,2024-12-11 16:52:25,
junseobag@kakao.com,151,JOINED,2024-12-21 16:52:25,
yangseongjin@hanmail.net,152,JOINED,2024-12-17 16:52:25,
isangho@naver.com,153,JOINED,2024-12-21 16:52:25,
junhyeogjo@hanmail.net,154,JOINED,2024-12-18 16:52:25,
jaehyeon10@daum.net,155,JOINED,2024-12-02 16:52:25,
myeongjajeon@daum.net,156,JOINED,2024-12-08 16:52:25,
uheo@naver.com,157,JOINED,2024-12-08 16:52:25,
ihyeonsug@hanmail.net,158,JOINED,2024-12-17 16:52:25,
byeongceol13@kakao.com,159,JOINED,2024-12-02 16:52:25,
jieuni@kakao.com,160,JOINED,2024-12-07 16:52:25,
gimeungyeong@daum.net,161,JOINED,2024-12-12 16:52:25,
jia52@kakao.com,162,JOINED,2024-11-27 16:52:25,
xgim@kakao.com,163,JOINED,2024-12-07 16:52:25,
jbag@naver.com,164,JOINED,2024-12-13 16:52:25,
jeongsubag@kakao.com,165,JOINED,2024-12-14 16:52:25,
bagseongho@kakao.com,166,JOINED,2024-12-18 16:52:25,
rhwang@hanmail.net,167,JOINED,2024-12-21 16:52:25,
coejunyeong@kakao.com,168,JOINED,2024-12-09 16:52:25,
jeongungcoe@daum.net,169,JOINED,2024-12-10 16:52:25,
boram52@daum.net,170,JOINED,2024-12-23 16:52:25,
yunjihun@naver.com,171,JOINED,2024-12-01 16:52:25,
ieunyeong@gmail.com,172,JOINED,2024-12-24 16:52:25,
jiyeong92@naver.com,173,JOINED,2024-11-28 16:52:25,
iyeongsug@daum.net,174,JOINED,2024-12-22 16:52:25,
mijeongi@daum.net,175,JOINED,2024-12-21 16:52:25,
sbag@kakao.com,176,JOINED,2024-12-05 16:52:25,
jiyeongim@kakao.com,177,JOINED,2024-12-20 16:52:25,
iyunseo@daum.net,178,JOINED,2024-11-30 16:52:25,
eunjison@hanmail.net,179,JOINED,2024-12-04 16:52:25,
idoyun@kakao.com,180,JOINED,2024-12-12 16:52:25,
ijeongsun@gmail.com,181,JOINED,2024-12-06 16:52:25,
baeggwangsu@hanmail.net,182,JOINED,2024-12-23 16:52:25,
sgim@kakao.com,183,JOINED,2024-12-13 16:52:25,
fgim@kakao.com,184,JOINED,2024-12-13 16:52:25,
seoyeonggim@kakao.com,185,JOINED,2024-12-06 16:52:25,
igyeongsug@daum.net,186,JOINED,2024-12-11 16:52:25,
iyejin@hanmail.net,187,JOINED,2024-12-09 16:52:25,
ijeongung@kakao.com,188,JOINED,2024-12-17 16:52:25,
zgang@kakao.com,189,JOINED,2024-12-08 16:52:25,
donghyeongim@daum.net,190,JOINED,2024-11-28 16:52:25,
wgim@kakao.com,191,JOINED,2024-12-25 16:52:25,
yejun56@kakao.com,192,JOINED,2024-12-04 16:52:25,
myeongjabag@kakao.com,193,JOINED,2024-12-02 16:52:25,
minjii@gmail.com,194,JOINED,2024-12-22 16:52:25,
cgim@naver.com,195,JOINED,2024-12-04 16:52:25,
yi@gmail.com,196,JOINED,2024-11-27 16:52:25,
minjaehwang@naver.com,197,JOINED,2024-12-08 16:52:25,
xha@daum.net,198,JOINED,2024-12-01 16:52:25,
seomyeongja@daum.net,199,JOINED,2024-12-17 16:52:25,
ngim@naver.com,200,JOINED,2024-12-01 16:52:25,
bagjiweon@gmail.com,165,JOINED,2024-12-15 16:52:25,
yeweon88@hanmail.net,76,JOINED,2024-12-12 16:52:25,
yeweon88@hanmail.net,117,LEFT,2024-11-25 16:52:25,2024-11-30 16:52:25
sanghungim@gmail.com,129,JOINED,2024-12-01 16:52:25,
sanghungim@gmail.com,130,LEFT,2024-10-27 16:52:25,2024-10-29 16:52:25
gyeongsug82@gmail.com,161,JOINED,2024-12-16 16:52:25,
gyeongsug82@gmail.com,130,LEFT,2024-11-06 16:52:25,2024-11-10 16:52:25
gyeongsug82@gmail.com,40,LEFT,2024-11-14 16:52:25,2024-11-17 16:52:25
gyeongsug82@gmail.com,139,LEFT,2024-11-01 16:52:25,2024-11-10 16:52:25
gyeongsug82@gmail.com,1,LEFT,2024-11-06 16:52:25,2024-11-12 16:52:25
gyeongsug82@gmail.com,126,LEFT,2024-11-25 16:52:25,2024-11-27 16:52:25
gimjeongsu@daum.net,93,JOINED,2024-11-27 16:52:25,
gimjeongsu@daum.net,62,LEFT,2024-11-24 16:52:25,2024-11-28 16:52:25
gimjeongsu@daum.net,146,LEFT,2024-11-23 16:52:25,2024-11-25 16:52:25
yunseogim@naver.com,188,JOINED,2024-12-10 16:52:25,
seonghyeon53@hanmail.net,195,JOINED,2024-12-08 16:52:25,
seonghyeon53@hanmail.net,33,LEFT,2024-11-04 16:52:25,2024-11-12 16:52:25
seojun49@hanmail.net,141,JOINED,2024-12-20 16:52:25,
seojun49@hanmail.net,136,LEFT,2024-10-29 16:52:25,2024-11-08 16:52:25
seojun49@hanmail.net,109,LEFT,2024-11-19 16:52:25,2024-11-28 16:52:25
jeongja90@naver.com,194,JOINED,2024-12-02 16:52:25,
jeongja90@naver.com,52,LEFT,2024-11-03 16:52:25,2024-11-08 16:52:25
jeongja90@naver.com,103,LEFT,2024-11-04 16:52:25,2024-11-10 16:52:25
jeongja90@naver.com,113,LEFT,2024-10-28 16:52:25,2024-11-06 16:52:25
jeongja90@naver.com,116,LEFT,2024-11-22 16:52:25,2024-11-26 16:52:25
jeongja90@naver.com,58,LEFT,2024-11-23 16:52:25,2024-11-29 16:52:25
yunseoi@naver.com,6,JOINED,2024-12-07 16:52:25,
yunseoi@naver.com,59,LEFT,2024-11-07 16:52:25,2024-11-11 16:52:25
yunseoi@naver.com,2,LEFT,2024-11-23 16:52:25,2024-11-24 16:52:25
yunseoi@naver.com,59,LEFT,2024-11-23 16:52:25,2024-11-24 16:52:25
yunseoi@naver.com,85,LEFT,2024-11-23 16:52:25,2024-12-02 16:52:25
gyeonghyi64@naver.com,61,JOINED,2024-12-17 16:52:25,
gyeonghyi64@naver.com,125,LEFT,2024-11-19 16:52:25,2024-11-28 16:52:25
gyeonghyi64@naver.com,34,LEFT,2024-11-02 16:52:25,2024-11-12 16:52:25
gyeonghyi64@naver.com,148,LEFT,2024-11-10 16:52:25,2024-11-14 16:52:25
gyeonghyi64@naver.com,122,LEFT,2024-10-31 16:52:25,2024-11-07 16:52:25
gyeonghyi64@naver.com,49,LEFT,2024-11-22 16:52:25,2024-11-24 16:52:25
mgim@kakao.com,169,JOINED,2024-12-12 16:52:25,
mgim@kakao.com,109,LEFT,2024-11-12 16:52:25,2024-11-20 16:52:25
mgim@kakao.com,187,LEFT,2024-11-24 16:52:25,2024-11-26 16:52:25
hyeonju25@daum.net,16,JOINED,2024-12-13 16:52:25,
hyeonju25@daum.net,87,LEFT,2024-10-31 16:52:25,2024-11-02 16:52:25
hyeonju25@daum.net,64,LEFT,2024-11-19 16:52:25,2024-11-23 16:52:25
hyeonju25@daum.net,138,LEFT,2024-11-11 16:52:25,2024-11-14 16:52:25
hyeonju25@daum.net,109,LEFT,2024-11-20 16:52:25,2024-11-25 16:52:25
hyeonju25@daum.net,119,LEFT,2024-11-18 16:52:25,2024-11-20 16:52:25
amun@hanmail.net,114,JOINED,2024-11-30 16:52:25,
amun@hanmail.net,26,LEFT,2024-11-24 16:52:25,2024-12-03 16:52:25
amun@hanmail.net,4,LEFT,2024-11-23 16:52:25,2024-11-27 16:52:25
amun@hanmail.net,43,LEFT,2024-11-12 16:52:25,2024-11-20 16:52:25
amun@hanmail.net,124,LEFT,2024-11-19 16:52:25,2024-11-26 16:52:25
seungmin27@kakao.com,16,JOINED,2024-12-20 16:52:25,
seungmin27@kakao.com,1,LEFT,2024-11-13 16:52:25,2024-11-18 16:52:25
seungmin27@kakao.com,117,LEFT,2024-11-16 16:52:25,2024-11-23 16:52:25
seungmin27@kakao.com,179,LEFT,2024-11-02 16:52:25,2024-11-11 16:52:25
pbag@gmail.com,170,JOINED,2024-12-03 16:52:25,
pbag@gmail.com,40,LEFT,2024-11-19 16:52:25,2024-11-24 16:52:25
pbag@gmail.com,56,LEFT,2024-11-24 16:52:25,2024-12-04 16:52:25
pbag@gmail.com,189,LEFT,2024-11-08 16:52:25,2024-11-09 16:52:25
ai@gmail.com,192,JOINED,2024-12-15 16:52:25,
wbag@kakao.com,13,JOINED,2024-12-07 16:52:25,
wbag@kakao.com,129,LEFT,2024-10-27 16:52:25,2024-11-05 16:52:25
wbag@kakao.com,41,LEFT,2024-11-24 16:52:25,2024-12-03 16:52:25
wbag@kakao.com,21,LEFT,2024-10-29 16:52:25,2024-11-01 16:52:25
hyeonjeongi@naver.com,18,JOINED,2024-12-06 16:52:25,
ggim@daum.net,173,JOINED,2024-11-28 16:52:25,
ggim@daum.net,104,LEFT,2024-11-22 16:52:25,2024-12-02 16:52:25
to@gmail.com,64,JOINED,2024-12-07 16:52:25,
to@gmail.com,11,LEFT,2024-11-06 16:52:25,2024-11-08 16:52:25
to@gmail.com,108,LEFT,2024-11-04 16:52:25,2024-11-14 16:52:25
to@gmail.com,145,LEFT,2024-11-09 16:52:25,2024-11-15 16:52:25
to@gmail.com,67,LEFT,2024-11-19 16:52:25,2024-11-25 16:52:25
ycoe@gmail.com,62,JOINED,2024-12-17 16:52:25,
ycoe@gmail.com,34,LEFT,2024-11-04 16:52:25,2024-11-09 16:52:25
ycoe@gmail.com,118,LEFT,2024-11-15 16:52:25,2024-11-17 16:52:25
ycoe@gmail.com,3,LEFT,2024-11-11 16:52:25,2024-11-21 16:52:25
yejicoe@hanmail.net,145,JOINED,2024-12-22 16:52:25,
jeongsuggim@daum.net,138,JOINED,2024-12-19 16:52:25,
jeongsuggim@daum.net,68,LEFT,2024-11-21 16:52:25,2024-11-27 16:52:25
jeongsuggim@daum.net,18,LEFT,2024-10-28 16:52:25,2024-11-01 16:52:25
jeongsuggim@daum.net,95,LEFT,2024-11-16 16:52:25,2024-11-19 16:52:25
jeongsuggim@daum.net,113,LEFT,2024-10-30 16:52:25,2024-11-08 16:52:25
jungsugim@hanmail.net,181,JOINED,2024-12-16 16:52:25,
jungsugim@hanmail.net,168,LEFT,2024-11-09 16:52:25,2024-11-10 16:52:25
jungsugim@hanmail.net,171,LEFT,2024-10-30 16:52:25,2024-11-08 16:52:25
jungsugim@hanmail.net,77,LEFT,2024-10-27 16:52:25,2024-10-29 16:52:25
jungsugim@hanmail.net,35,LEFT,2024-11-17 16:52:25,2024-11-19 16:52:25
hanmisug@kakao.com,28,JOINED,2024-12-02 16:52:25,
hanmisug@kakao.com,40,LEFT,2024-11-17 16:52:25,2024-11-22 16:52:25
hanmisug@kakao.com,155,LEFT,2024-11-19 16:52:25,2024-11-25 16:52:25
hanmisug@kakao.com,53,LEFT,2024-11-04 16:52:25,2024-11-09 16:52:25
hanmisug@kakao.com,130,LEFT,2024-11-10 16:52:25,2024-11-15 16:52:25
hyeonjunbag@naver.com,14,JOINED,2024-12-23 16:52:25,
hyeonjunbag@naver.com,109,LEFT,2024-10-30 16:52:25,2024-11-04 16:52:25
hyeonjunbag@naver.com,12,LEFT,2024-11-25 16:52:25,2024-12-01 16:52:25
hyeonjunbag@naver.com,198,LEFT,2024-11-21 16:52:25,2024-11-26 16:52:25
hyeonjunbag@naver.com,42,LEFT,2024-11-02 16:52:25,2024-11-10 16:52:25
hyeonjunbag@naver.com,142,LEFT,2024-11-03 16:52:25,2024-11-10 16:52:25
sumin33@kakao.com,144,JOINED,2024-12-25 16:52:25,
wi@hanmail.net,20,JOINED,2024-11-27 16:52:25,
wi@hanmail.net,39,LEFT,2024-11-08 16:52:25,2024-11-09 16:52:25
wi@hanmail.net,95,LEFT,2024-11-07 16:52:25,2024-11-16 16:52:25
wi@hanmail.net,38,LEFT,2024-11-12 16:52:25,2024-11-15 16:52:25
wi@hanmail.net,11,LEFT,2024-11-16 16:52:25,2024-11-22 16:52:25
wi@hanmail.net,11,LEFT,2024-10-28 16:52:25,2024-11-03 16:52:25
zbae@hanmail.net,54,JOINED,2024-12-04 16:52:25,
zbae@hanmail.net,171,LEFT,2024-11-22 16:52:25,2024-11-28 16:52:25
ogja33@kakao.com,200,JOINED,2024-12-08 16:52:25,
ogja33@kakao.com,159,LEFT,2024-11-02 16:52:25,2024-11-05 16:52:25
ogja33@kakao.com,61,LEFT,2024-10-29 16:52:25,2024-11-01 16:52:25
ogja33@kakao.com,46,LEFT,2024-10-28 16:52:25,2024-11-04 16:52:25
yeongjinjang@kakao.com,7,JOINED,2024-12-20 16:52:25,
yeongjinjang@kakao.com,86,LEFT,2024-10-31 16:52:25,2024-11-07 16:52:25
yeongjinjang@kakao.com,172,LEFT,2024-10-29 16:52:25,2024-11-02 16:52:25
yeongjinjang@kakao.com,69,LEFT,2024-11-20 16:52:25,2024-11-22 16:52:25
yeongjinjang@kakao.com,98,LEFT,2024-10-29 16:52:25,2024-10-30 16:52:25
yeongjinjang@kakao.com,121,LEFT,2024-11-18 16:52:25,2024-11-22 16:52:25
eyun@gmail.com,118,JOINED,2024-12-14 16:52:25,
eyun@gmail.com,59,LEFT,2024-11-18 16:52:25,2024-11-19 16:52:25
eyun@gmail.com,169,LEFT,2024-11-19 16:52:25,2024-11-26 16:52:25
baegbyeongceol@daum.net,85,JOINED,2024-12-17 16:52:25,
jihuhong@hanmail.net,198,JOINED,2024-12-17 16:52:25,
jihuhong@hanmail.net,165,LEFT,2024-11-09 16:52:25,2024-11-16 16:52:25
jihuhong@hanmail.net,174,LEFT,2024-10-30 16:52:25,2024-11-08 16:52:25
jiyeong04@daum.net,85,JOINED,2024-12-25 16:52:25,
ison@hanmail.net,67,JOINED,2024-12-20 16:52:25,
ison@hanmail.net,68,LEFT,2024-11-24 16:52:25,2024-11-26 16:52:25
ison@hanmail.net,153,LEFT,2024-11-12 16:52:25,2024-11-18 16:52:25
ison@hanmail.net,187,LEFT,2024-10-31 16:52:25,2024-11-06 16:52:25
ison@hanmail.net,112,LEFT,2024-11-06 16:52:25,2024-11-15 16:52:25
tyun@naver.com,30,JOINED,2024-12-13 16:52:25,
tyun@naver.com,49,LEFT,2024-11-17 16:52:25,2024-11-18 16:52:25
tyun@naver.com,182,LEFT,2024-11-12 16:52:25,2024-11-13 16:52:25
tyun@naver.com,134,LEFT,2024-10-27 16:52:25,2024-11-05 16:52:25
tyun@naver.com,176,LEFT,2024-11-02 16:52:25,2024-11-06 16:52:25
seonghungo@daum.net,94,JOINED,2024-12-12 16:52:25,
gimseongsu@gmail.com,171,JOINED,2024-11-26 16:52:25,
gimseongsu@gmail.com,160,LEFT,2024-11-15 16:52:25,2024-11-17 16:52:25
gimseongsu@gmail.com,185,LEFT,2024-10-28 16:52:25,2024-11-02 16:52:25
haeun49@daum.net,130,JOINED,2024-12-16 16:52:25,
haeun49@daum.net,105,LEFT,2024-11-15 16:52:25,2024-11-22 16:52:25
haeun49@daum.net,179,LEFT,2024-11-16 16:52:25,2024-11-25 16:52:25
haeun49@daum.net,33,LEFT,2024-11-19 16:52:25,2024-11-26 16:52:25
haeun49@daum.net,171,LEFT,2024-11-13 16:52:25,2024-11-16 16:52:25
haeun49@daum.net,158,LEFT,2024-11-07 16:52:25,2024-11-12 16:52:25
janggyeongsug@naver.com,104,JOINED,2024-12-08 16:52:25,
yeongja45@kakao.com,78,JOINED,2024-12-16 16:52:25,
yeongja45@kakao.com,111,LEFT,2024-10-31 16:52:25,2024-11-10 16:52:25
zgweon@hanmail.net,156,JOINED,2024-12-05 16:52:25,
zgweon@hanmail.net,120,LEFT,2024-11-11 16:52:25,2024-11-19 16:52:25
zgweon@hanmail.net,173,LEFT,2024-11-19 16:52:25,2024-11-28 16:52:25
bagmiyeong@kakao.com,122,JOINED,2024-11-30 16:52:25,
bagmiyeong@kakao.com,44,LEFT,2024-11-04 16:52:25,2024-11-06 16:52:25
bagmiyeong@kakao.com,73,LEFT,2024-11-09 16:52:25,2024-11-19 16:52:25
bagmiyeong@kakao.com,86,LEFT,2024-11-23 16:52:25,2024-11-27 16:52:25
bagmiyeong@kakao.com,173,LEFT,2024-11-16 16:52:25,2024-11-20 16:52:25
bagmiyeong@kakao.com,51,LEFT,2024-11-21 16:52:25,2024-11-22 16:52:25
seoyeonggim@daum.net,12,JOINED,2024-12-18 16:52:25,
seoyeonggim@daum.net,157,LEFT,2024-10-29 16:52:25,2024-10-31 16:52:25
seoyeonggim@daum.net,117,LEFT,2024-11-12 16:52:25,2024-11-22 16:52:25
seoyeonggim@daum.net,50,LEFT,2024-11-03 16:52:25,2024-11-10 16:52:25
bagmisug@kakao.com,127,JOINED,2024-12-13 16:52:25,
bagmisug@kakao.com,38,LEFT,2024-11-05 16:52:25,2024-11-06 16:52:25
ieunji@kakao.com,193,JOINED,2024-11-28 16:52:25,
jeongminsu@hanmail.net,200,JOINED,2024-12-12 16:52:25,
jeongminsu@hanmail.net,46,LEFT,2024-10-31 16:52:25,2024-11-09 16:52:25
yunseogu@daum.net,119,JOINED,2024-12-24 16:52:25,
yunseogu@daum.net,64,LEFT,2024-10-27 16:52:25,2024-10-29 16:52:25
yunseogu@daum.net,117,LEFT,2024-11-21 16:52:25,2024-11-29 16:52:25
yunseogu@daum.net,171,LEFT,2024-11-09 16:52:25,2024-11-18 16:52:25
yunseogu@daum.net,153,LEFT,2024-11-15 16:52:25,2024-11-23 16:52:25
ri@daum.net,157,JOINED,2024-11-29 16:52:25,
ri@daum.net,130,LEFT,2024-11-12 16:52:25,2024-11-21 16:52:25
ri@daum.net,115,LEFT,2024-10-28 16:52:25,2024-10-31 16:52:25
ri@daum.net,191,LEFT,2024-10-29 16:52:25,2024-11-06 16:52:25
ri@daum.net,116,LEFT,2024-11-17 16:52:25,2024-11-21 16:52:25
ri@daum.net,164,LEFT,2024-11-17 16:52:25,2024-11-26 16:52:25
hyejini@hanmail.net,125,JOINED,2024-12-05 16:52:25,
hyejini@hanmail.net,71,LEFT,2024-11-11 16:52:25,2024-11-13 16:52:25
gyeongsug86@kakao.com,183,JOINED,2024-12-16 16:52:25,
gyeongsug86@kakao.com,70,LEFT,2024-11-15 16:52:25,2024-11-21 16:52:25
